title,url,category
남북협력기금법,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0028&contId=1990080100000009&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0028&back_contId=1990080100000009&back_cachePreid=ALL,헌 법
남북 이산가족 생사확인 및 교류 촉진에 관한 법률 시행령,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0016&contId=2009092400000001&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0016&back_contId=2009092400000001&back_cachePreid=ALL,헌 법
헌법재판소 공무원 명예퇴직수당 등 지급 규칙,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0037&contId=1995062000000001&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0037&back_contId=1995062000000001&back_cachePreid=ALL,헌 법
민주평화통일자문회의법,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0024&contId=1981031400000003&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0024&back_contId=1981031400000003&back_cachePreid=ALL,헌 법
북한이탈주민의 보호 및 정착지원에 관한 법률,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0055&contId=1997011300000007&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0055&back_contId=1997011300000007&back_cachePreid=ALL,헌 법
남북 이산가족 생사확인 및 교류 촉진에 관한 법률,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0006&contId=2009032500000002&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0006&back_contId=2009032500000002&back_cachePreid=ALL,헌 법
헌법재판소장 등의 보수에 관한 규칙,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0097&contId=1988093000000003&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0097&back_contId=1988093000000003&back_cachePreid=ALL,헌 법
청원법의 시행에 관한 중앙선거관리위원회 규칙,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0003&contId=2022012700000005&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0003&back_contId=2022012700000005&back_cachePreid=ALL,헌 법
헌법재판소 청원 규칙,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0004&contId=2022041600000002&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0004&back_contId=2022041600000002&back_cachePreid=ALL,헌 법
청원법 시행령,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0003&contId=2022012700000006&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0003&back_contId=2022012700000006&back_cachePreid=ALL,헌 법
청원법 시행규칙,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0003&contId=2022012700000003&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0003&back_contId=2022012700000003&back_cachePreid=ALL,헌 법
청원법,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0017&contId=1961080700000003&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0017&back_contId=1961080700000003&back_cachePreid=ALL,헌 법
북한이탈주민의 보호 및 정착지원에 관한 법률 시행령,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0145&contId=1997071400000001&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0145&back_contId=1997071400000001&back_cachePreid=ALL,헌 법
헌법재판소 심판절차에서의 전자문서 이용 등에 관한 규칙,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0013&contId=2010022600000001&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0013&back_contId=2010022600000001&back_cachePreid=ALL,헌 법
개성공업지구 지원에 관한 법률 시행령,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0072&contId=2007092000000001&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0072&back_contId=2007092000000001&back_cachePreid=ALL,헌 법
남북교류협력에 관한 법률 시행령,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0078&contId=1990080900000001&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0078&back_contId=1990080900000001&back_cachePreid=ALL,헌 법
통일교육 지원법,https://likms.assembly.go.kr/law/lawsLawtInqyDetl1010.do?genActiontypeCd=2ACT1010&genDoctreattypeCd=DOCT2004&procWorkId=&workstepId=&repFlowId=&flowId=&workId=&workSno=&nextWinWd='&nextWinHg=''&nextWinTypeAttr='&nextMappingId=&nextGenActiontypeCd=&contSid=0025&contId=1999020500000006&cachePreid=ALL&genMenuId=menu_serv_nlaw_lawt_1020&back_contSid=0025&back_contId=1999020500000006&back_cachePreid=ALL,헌 법
